Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
27-Feb-18,2747.50,2783.50,2789.75,2742.00,1.72M,-1.33%,"2,706.05",2823.454676,2588.645324,-37,15.95,-19.8625,0.803020768,44.53752182
26-Feb-18,2784.50,2751.50,2786.00,2742.50,1.26M,1.30%,"2,709.96",2837.923974,2582.001026,35.75,16.0125,-18.0125,0.888965996,47.06098457
23-Feb-18,2748.75,2712.75,2750.25,2710.00,1.29M,1.37%,"2,711.96",2845.938271,2577.986729,37.25,14.225,-19.4625,0.730892742,42.22634508
22-Feb-18,2711.50,2698.50,2731.00,2682.00,1.62M,0.47%,"2,717.20",2864.734884,2569.665116,12.75,12.3625,-20.5125,0.602681292,37.60456274
21-Feb-18,2698.75,2714.50,2747.75,2693.50,1.66M,-0.56%,"2,725.35",2888.718118,2561.981882,-15.25,13.3875,-20.5125,0.652650823,39.49115044
20-Feb-18,2714.00,2734.50,2747.75,2705.75,1.45M,-0.61%,"2,732.48",2903.221573,2561.728427,-16.75,13.4,-19.75,0.678481013,40.42232278
19-Feb-18,2730.75,2740.25,2747.75,2719.75,-,-0.35%,"2,738.83",2916.003627,2561.646373,-9.5,13.475,-18.9125,0.712491738,41.6055577
18-Feb-18,2740.25,2736.25,2741.00,2734.50,-,0.19%,"2,744.26",2926.985865,2561.539135,5.25,13.6875,-18.4375,0.742372881,42.60700389
16-Feb-18,2735.00,2734.00,2754.75,2722.25,1.74M,0.04%,"2,749.01",2936.18175,2561.84325,1,14.6375,-18.4375,0.793898305,44.25547997
15-Feb-18,2734.00,2695.50,2736.75,2688.50,1.67M,1.37%,"2,752.81",2941.860452,2563.764548,37,15.325,-18.4375,0.831186441,45.39059608
14-Feb-18,2697.00,2662.50,2701.75,2627.00,2.09M,1.32%,"2,755.93",2945.717137,2566.132863,35.25,13.475,-18.8125,0.71627907,41.73441734
13-Feb-18,2661.75,2653.25,2667.50,2634.25,1.46M,0.24%,"2,761.26",2950.07893,2572.44607,6.5,12.775,-18.8125,0.679069767,40.4432133
12-Feb-18,2655.25,2628.25,2671.50,2620.00,2.17M,1.38%,"2,767.30",2950.352811,2584.247189,36.25,12.45,-19.375,0.642580645,39.12018853
9-Feb-18,2619.00,2593.75,2637.75,2530.25,3.91M,0.98%,"2,774.23",2949.754192,2598.695808,25.5,10.6375,-19.4625,0.546563905,35.34053156
8-Feb-18,2593.50,2664.75,2686.50,2577.00,3.12M,-2.80%,"2,783.05",2942.753722,2623.346278,-74.75,9.7,-19.4625,0.498394348,33.26189456
7-Feb-18,2668.25,2685.50,2726.75,2660.50,2.49M,-0.97%,"2,792.81",2925.276783,2660.348217,-26,10.6625,-15.725,0.678060413,40.40738986
6-Feb-18,2694.25,2624.00,2699.75,2529.00,4.81M,3.32%,"2,797.88",2917.402414,2678.347586,86.5,11.6125,-14.425,0.805025997,44.59913586
5-Feb-18,2607.75,2757.00,2763.00,2595.75,4.01M,-5.40%,"2,800.69",2912.335782,2689.039218,-149,7.2875,-14.5125,0.502153316,33.42889908
2-Feb-18,2756.75,2826.50,2831.00,2755.25,2.53M,-2.33%,"2,807.91",2877.931534,2737.893466,-65.75,7.5625,-7.0625,1.07079646,51.70940171
1-Feb-18,2822.50,2828.75,2837.25,2809.50,1.65M,-0.12%,"2,807.41",2879.092945,2735.732055,-3.25,7.775,-3.775,2.059602649,67.31601732
31-Jan-18,2825.75,2823.25,2839.75,2813.00,1.84M,0.04%,"2,803.41",2880.288216,2726.536784,1.25,8.7125,-3.6125,2.411764706,70.68965517
30-Jan-18,2824.50,2853.25,2858.00,2818.50,2.13M,-1.02%,"2,798.31",2882.165579,2714.459421,-29,9.2875,-3.6125,2.570934256,71.99612403
29-Jan-18,2853.50,2874.25,2878.50,2851.50,1.40M,-0.73%,"2,792.64",2884.050311,2701.224689,-21,10.1875,-2.1625,4.710982659,82.48987854
26-Jan-18,2874.50,2842.25,2876.00,2841.25,1.29M,1.17%,"2,784.61",2881.542002,2687.682998,33.25,10.8,-1.1125,9.707865169,90.6610703
25-Jan-18,2841.25,2840.00,2853.75,2830.75,1.44M,0.01%,"2,774.93",2872.752466,2677.097534,0.25,9.375,-1.1125,8.426966292,89.39213349
